,Pais,Total Fallecidos Vias Respiratorias,Media Fallecidos Vias Respiratorias,Total Fallecidos Sepsis,Media Fallecidos Sepsis,Total Fallecidos Meningitis Encefalitis,Media Fallecidos Meningitis Encefalitis,Total Fallecidos Malaria,Media Fallecidos Malaria,Total Fallecidos Sarampion,Media Fallecidos Sarampion,Total Fallecidos VIH,Media Fallecidos VIH,Total Fallecidos Diarrea,Media Fallecidos Diarrea,Vacunación contra la poliomielitis entre los niños de 1 año (%),Vacunación de antineumocócicas conjugadas en niños de 1 año (%),Vacunación de la primera dosis contra el sarampión (%),Vacunación de la segunda dosis contra el sarampión (%),Vacunación contra la hepatitis B entre los niños de 1 año (%),Vacunación contra Hib entre niños de 1 año (%),Vacunación contra la tos ferina y el toxoide tetánico diftérico en niños de 1 año (%),Vacunación con BCG en niños de 1 año (%),Centros de salud (Densidad por 100000 hab.),Hospitales (Densidad por 100000 hab.),Doctores medicos (por 10000 hab.),Enfermeros y personal de parto (por 10000 hab.),Farmaceuticos (por 10000 hab.),Camas de hospital (por 10000 hab.),Niños con bajo peso al nacer(%),Prevalencia de anemia en niños menores de 5 años (%),Niños amamantados en sus primeros 6 meses de vida (%),Concentracion de partículas finas (polucion) en el aire,"DALY debido al agua, saneamiento e higiene en niños menores de 5 años","Muertes debido al agua, saneamiento e higiene en niños menores de 5 años"
15,Bahrain,95,5.277777777777778,46,2.5555555555555554,28,1.5555555555555556,0,0.0,0,0.0,3,0.16666666666666666,11,0.6111111111111112,92.39024390243902,84.07692307692308,87.07317073170732,93.66666666666667,83.84375,69.9,92.39024390243902,NaN,NaN,NaN,9.93575,26.571857142857137,1.6978,23.027777777777782,9.487499999999999,5.08054054054054,NaN,69.0 ,NaN,NaN
16,Bangladesh,634366,35242.555555555555,373635,20757.5,108407,6022.611111111111,626,34.77777777777778,119975,6665.277777777777,337,18.72222222222222,334186,18565.88888888889,66.07317073170732,33.53846153846154,62.48780487804878,32.142857142857146,43.8125,35.166666666666664,66.07317073170732,72.39024390243902,0.02,0.17,4.030555555555555,2.52975,0.8738999999999999,7.2,31.549999999999997,8.39081081081081,47.849999999999994,58.3 ,2061105,58639
17,Barbados,28,1.5555555555555556,79,4.388888888888889,3,0.16666666666666666,0,0.0,0,0.0,9,0.5,3,0.16666666666666666,84.36585365853658,73.76923076923077,84.17073170731707,74.71428571428571,51.03125,54.333333333333336,83.6829268292683,NaN,0.0,1.05,16.9784,41.75233333333333,7.408666666666666,61.61428571428571,NaN,5.078918918918919,19.7,22.2 ,33,0
18,Belarus,1277,70.94444444444444,235,13.055555555555555,233,12.944444444444445,0,0.0,0,0.0,71,3.9444444444444446,149,8.277777777777779,65.21951219512195,NaN,66.82926829268293,93.14285714285714,58.59375,9.933333333333334,65.1951219512195,66.8048780487805,2.825,7.45,42.071999999999996,94.36146153846153,3.1777307692307692,113.83999999999999,5.125,3.908648648648649,14.65,18.1 ,859,4
19,Belgium,240,13.333333333333334,261,14.5,302,16.77777777777778,0,0.0,0,0.0,0,0.0,49,2.7222222222222223,93.92682926829268,57.61538461538461,78.8048780487805,55.523809523809526,56.90625,68.4,92.63414634146342,NaN,NaN,NaN,30.636904761904763,102.02116666666667,11.003233333333332,61.37000000000002,7.0562499999999995,1.6643243243243242,12.0,12.9 ,524,1
20,Belize,261,14.5,163,9.055555555555555,41,2.2777777777777777,0,0.0,0,0.0,52,2.888888888888889,133,7.388888888888889,82.4390243902439,NaN,78.95121951219512,65.76190476190476,59.15625,60.3,82.36585365853658,89.70731707317073,12.445,2.11,9.487666666666666,18.99055555555556,5.159,10.983333333333334,8.762500000000001,4.077297297297297,19.066666666666666,21.2 ,424,10
21,Benin,105104,5839.111111111111,44991,2499.5,24023,1334.611111111111,132601,7366.722222222223,13531,751.7222222222222,12487,693.7222222222222,76482,4249.0,57.829268292682926,46.61538461538461,53.31707317073171,NaN,40.71875,36.833333333333336,57.707317073170735,71.04878048780488,5.905,0.41,0.5825714285714285,5.7298888888888895,0.05800000000000002,5.0,17.64375,11.254594594594595,32.839999999999996,33.1 ,235888,6716
22,Bhutan,2594,144.11111111111111,1185,65.83333333333333,417,23.166666666666668,14,0.7777777777777778,170,9.444444444444445,66,3.6666666666666665,1309,72.72222222222223,76.60975609756098,2.0,75.39024390243902,50.857142857142854,67.71875,26.066666666666666,76.78048780487805,82.92682926829268,1.62,1.72,3.2680000000000002,13.128181818181817,0.28490909090909095,17.4,12.6125,9.491351351351351,50.05,35.3 ,8168,237
23,Bolivia (Plurinational State of),40022,2223.4444444444443,14332,796.2222222222222,4321,240.05555555555554,29,1.6111111111111112,0,0.0,654,36.333333333333336,24341,1352.2777777777778,62.8780487804878,36.15384615384615,66.2439024390244,3.9047619047619047,53.03125,56.56666666666667,60.951219512195124,75.09756097560975,9.11,1.07,8.435,11.38325,1.3646,11.614285714285716,7.575,7.813513513513514,52.0125,20.2 ,105775,3019
24,Bosnia and Herzegovina,404,22.444444444444443,164,9.11111111111111,78,4.333333333333333,0,0.0,46,2.5555555555555554,0,0.0,49,2.7222222222222223,56.0,NaN,54.26829268292683,82.71428571428571,41.78125,39.43333333333333,55.26829268292683,60.292682926829265,0.0,1.02,17.022499999999997,52.20713636363635,1.1157368421052631,33.27333333333333,3.4374999999999996,4.363783783783783,13.766666666666666,27.3 ,430,3
