",""Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)"",""Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)"",""Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)"",""Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)"""
"Guyana,""4.9 "",""5.0 "",""5.0 "",""5.0 """
"Haiti,""11.9 "",""12.3 "",""12.7 "",""13.1 """
"Honduras,""4.6 "",""4.7 "",""4.8 "",""4.9 """
"Hungary,""1.0 "",""1.0 "",""1.0 "",""1.1 """
"Iceland,""0.8 "",""0.8 "",""0.8 "",""0.8 """
"India,""5.7 "",""6.0 "",""6.3 "",""6.7 """
"Indonesia,""5.9 "",""6.1 "",""6.2 "",""6.3 """
"Iran (Islamic Republic of),""2.7 "",""2.8 "",""2.8 "",""2.9 """
"Iraq,""7.2 "",""7.3 "",""7.4 "",""7.5 """
"Ireland,""0.6 "",""0.7 "",""0.7 "",""0.7 """
"Israel,""0.9 "",""1.0 "",""1.0 "",""1.0 """
"Italy,""0.7 "",""0.7 "",""0.8 "",""0.8 """
"Jamaica,""2.6 "",""2.6 "",""2.7 "",""2.8 """
"Japan,""0.7 "",""0.8 "",""0.8 "",""0.8 """
"Jordan,""2.8 "",""2.9 "",""3.0 "",""3.0 """
"Kazakhstan,""2.8 "",""2.9 "",""3.0 "",""3.0 """
"Kenya,""10.4 "",""10.7 "",""10.9 "",""11.2 """
"Kiribati,""8.8 "",""9.1 "",""9.3 "",""9.6 """
"Kuwait,""1.9 "",""2.0 "",""2.0 "",""2.0 """
"Kyrgyzstan,""3.1 "",""3.1 "",""3.1 "",""3.2 """
"Lao People's Democratic Republic,""8.8 "",""9.2 "",""9.8 "",""10.4 """
"Latvia,""1.4 "",""1.5 "",""1.6 "",""1.7 """
"Lebanon,""1.7 "",""1.7 "",""1.8 "",""1.8 """
"Lesotho,""9.1 "",""9.3 "",""9.6 "",""9.8 """
