,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$
Canada,4994.90,4845.59,4610.93,4615.64,5189.83,5409.79,5459.96,5355.68,5048.31,4357.23,4459.88,4199.29,3778.27,3296.50,2925.07,2562.91,2159.32,2063.93,2007.88
Central African Republic,53.66,29.98,21.88,18.99,20.81,18.00,20.53,20.04,17.82,22.45,19.16,19.38,16.10,14.79,13.89,12.97,10.80,9.55,10.29
Chad,29.24,29.50,34.35,35.09,43.72,39.96,37.41,38.50,36.29,35.69,37.71,34.83,34.64,31.98,28.23,18.20,18.13,11.80,10.24
Chile,1455.61,1360.17,1171.62,1127.02,1145.41,1179.47,1077.82,991.20,867.73,735.98,724.70,648.56,571.20,500.65,427.52,349.99,323.07,327.13,356.96
China,501.06,437.26,395.36,390.10,359.31,326.04,281.68,236.37,186.49,162.62,131.89,97.08,81.23,71.86,63.26,55.65,49.14,43.66,42.11
Colombia,513.16,489.64,442.14,464.63,583.06,576.70,543.07,497.38,448.09,379.70,374.43,305.99,237.02,207.16,157.58,128.01,130.43,136.61,132.88
Comoros,65.23,61.73,60.74,60.21,68.99,69.27,65.58,78.71,67.07,68.19,72.68,67.82,62.54,62.45,62.88,57.75,48.73,43.47,45.77
Congo,47.52,51.27,54.10,60.13,74.51,75.48,74.92,62.34,56.91,50.05,64.77,43.04,36.79,31.52,27.88,21.71,17.12,20.63,17.44
Cook Islands,596.12,584.45,571.04,463.59,593.80,550.12,527.33,534.38,482.01,405.56,410.01,440.64,362.96,399.18,341.89,278.85,226.03,186.96,164.47
Costa Rica,909.67,861.32,878.89,883.92,831.30,825.39,784.48,749.64,660.59,534.57,515.43,427.04,362.50,311.71,292.03,289.07,277.70,256.39,248.75
Côte d'Ivoire,71.88,69.34,67.21,63.08,80.42,72.74,76.09,74.19,73.97,74.76,78.03,66.77,54.63,49.22,47.48,39.49,31.49,31.83,36.47
Croatia,1014.22,902.63,840.91,795.52,909.37,889.94,1029.97,1132.50,1126.37,1187.55,1258.87,1041.03,816.02,727.13,634.62,512.15,386.44,388.32,371.06
Cuba,986.94,1000.29,984.85,986.73,866.08,713.24,604.21,699.83,612.47,679.63,612.24,571.27,387.42,331.53,231.99,227.09,213.39,198.13,180.81
