,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$
Papua New Guinea,63.77,60.10,58.49,48.73,95.55,81.82,74.42,55.21,41.08,37.88,35.72,33.94,30.49,27.67,25.63,21.63,19.96,17.45,17.84
Paraguay,400.39,378.02,357.75,364.79,405.62,361.30,339.38,268.86,200.66,161.85,168.18,124.29,96.14,75.28,71.06,58.69,54.53,78.92,91.55
Peru,369.08,340.20,318.46,315.95,335.78,319.20,310.91,270.00,242.19,208.88,189.56,158.85,141.22,122.17,115.72,110.18,103.84,95.54,87.61
Philippines,136.54,132.58,129.61,123.90,116.86,122.73,112.54,98.65,91.61,79.30,77.19,65.48,54.87,46.57,34.17,32.24,27.33,28.21,32.78
Poland,978.74,909.58,813.47,803.96,911.30,878.09,815.14,866.09,809.20,759.61,892.60,660.92,524.10,465.70,392.00,339.34,315.83,282.82,238.00
Portugal,2215.17,2003.26,1880.16,1725.22,1989.54,1959.98,1918.49,2210.59,2215.26,2288.64,2331.43,2069.86,1814.21,1774.19,1682.24,1409.03,1110.39,989.62,969.55
Qatar,1716.27,1667.37,1822.37,1999.58,2041.59,1765.83,1487.32,1318.52,1206.00,1270.25,1283.85,1290.99,1311.68,1321.94,1295.11,1218.35,742.27,659.98,602.12
Republic of Korea,2542.82,2258.67,2034.44,1918.69,1898.92,1701.15,1566.12,1512.45,1366.38,1106.06,1149.71,1223.17,1065.27,886.47,717.87,644.15,544.26,508.28,473.99
Republic of Moldova,212.97,191.19,171.18,186.44,230.77,231.66,223.62,214.98,198.29,208.53,185.56,135.44,100.11,79.33,64.61,38.44,33.92,25.40,21.38
North Macedonia,399.10,358.31,327.49,306.92,343.88,350.21,310.77,329.95,305.23,296.67,314.15,265.36,245.67,233.11,233.99,217.22,175.04,152.16,164.47
Romania,687.25,555.11,476.25,442.24,503.35,495.24,401.67,426.60,472.21,449.38,521.32,415.07,291.00,254.53,190.80,143.55,96.58,78.82,69.89
Russian Federation,609.01,579.67,464.90,498.06,737.65,807.08,757.04,682.66,566.09,515.85,609.16,461.51,352.55,271.88,209.20,164.65,140.76,118.11,95.41
Rwanda,58.31,52.87,51.88,49.96,51.86,49.15,58.85,53.06,49.30,45.26,41.09,34.43,27.64,25.63,20.55,17.32,7.30,7.92,9.32
Saint Kitts and Nevis,992.59,1030.48,1006.64,884.85,804.45,877.50,829.82,872.81,828.48,842.46,856.41,692.08,678.22,551.98,491.52,487.42,473.89,451.68,458.56
Saint Lucia,464.71,473.32,471.28,426.86,423.33,482.43,454.57,461.79,430.24,426.19,427.19,439.90,392.91,337.52,314.06,322.11,304.03,288.76,289.28
Saint Vincent and the Grenadines,329.26,310.64,294.16,282.71,291.06,303.36,299.61,278.79,286.35,270.04,262.37,251.11,216.43,204.61,195.94,186.06,184.00,171.40,157.94
Samoa,227.33,235.41,227.07,223.18,259.27,257.50,205.15,220.39,192.77,179.21,163.01,153.52,138.66,126.32,109.06,85.77,76.20,58.87,63.04
San Marino,3463.70,3287.47,2958.55,3102.82,3835.26,3993.26,3984.98,4248.48,3991.24,4209.33,4301.02,3741.92,3211.69,3004.92,2908.70,2496.63,2248.69,2172.20,2151.65
Sao Tome and Principe,125.40,117.01,109.98,85.22,120.01,125.18,86.82,85.39,74.94,76.83,78.14,71.06,68.30,91.53,80.72,80.15,57.78,53.57,56.68
Saudi Arabia,1484.59,1456.94,1160.05,1237.33,1278.98,1109.51,1014.70,881.40,702.67,691.32,596.53,587.98,556.07,471.12,400.88,382.39,369.50,387.49,386.26
Senegal,58.90,55.10,54.07,53.41,61.32,60.18,56.23,57.52,51.16,50.08,49.04,40.84,38.64,36.46,42.51,35.66,26.79,23.84,21.67
Serbia,617.09,515.85,486.43,491.25,608.86,627.53,559.81,619.08,545.29,575.47,671.96,547.19,371.56,307.57,274.43,230.11,173.27,112.22,56.50
Seychelles,833.08,777.85,772.45,665.45,675.30,641.07,655.69,531.92,513.08,362.48,426.69,469.21,531.10,516.04,499.00,440.62,378.23,407.33,349.99
Sierra Leone,85.78,82.55,87.10,120.91,140.99,82.92,59.98,59.54,43.97,43.42,40.34,36.17,33.62,32.27,29.22,28.86,28.83,25.17,23.31
Singapore,2823.64,2619.08,2476.17,2302.60,2206.11,2078.59,1828.90,1676.00,1496.78,1328.52,1295.25,1121.34,990.80,908.95,867.51,852.97,757.20,696.62,797.29
Slovakia,1299.91,1189.07,1175.60,1108.88,1289.35,1370.47,1319.44,1352.44,1296.54,1320.09,1251.68,1029.30,729.01,601.31,511.53,344.47,254.13,212.22,203.51
Slovenia,2169.58,1925.03,1835.41,1775.86,2062.38,2055.38,1974.85,2147.81,2017.15,2125.06,2179.45,1795.95,1541.66,1449.19,1368.65,1203.06,944.87,826.23,796.65
Solomon Islands,94.96,97.43,99.28,99.43,114.36,106.36,106.25,115.51,133.35,99.87,78.39,89.90,89.24,91.19,66.74,55.58,80.12,63.40,48.76
South Africa,525.96,497.05,426.83,469.99,509.79,527.29,581.57,600.34,543.44,417.12,377.09,392.03,369.01,361.01,329.24,259.36,172.23,198.68,225.53
South Sudan,26.79,26.38,,,,,,,,,,,,,,,,,
Spain,2736.32,2522.64,2376.72,2349.23,2679.85,2629.61,2591.02,2909.12,2789.53,2937.53,2995.05,2606.18,2242.18,2060.33,1924.45,1641.06,1174.58,1045.05,1005.28
Sri Lanka,157.47,158.71,151.48,149.96,137.67,137.64,113.45,118.97,108.28,100.32,92.91,73.73,65.40,57.30,50.92,42.37,42.85,41.32,43.72
Sudan,60.17,192.61,165.85,158.90,116.94,127.16,102.54,134.81,93.45,95.34,92.22,90.58,61.06,40.81,32.12,24.74,18.30,16.58,15.23
Suriname,474.13,335.11,351.94,532.50,458.57,451.75,422.10,390.14,415.30,394.90,347.25,321.17,325.91,251.29,221.22,173.20,162.91,93.66,168.92
Sweden,5981.71,5838.22,5674.48,5595.03,6605.99,6696.12,6254.65,6354.29,4420.26,4137.50,4626.64,4307.14,3763.11,3545.96,3486.54,3109.15,2458.13,2155.44,2173.19
Switzerland,9870.66,9606.35,9439.42,9382.79,9578.65,9275.80,8917.12,9191.96,7705.18,7297.38,7120.65,6154.70,5671.98,5673.94,5608.70,5018.53,4211.73,3763.38,3559.82
Syrian Arab Republic,,,,,,,69.83,80.71,92.74,90.50,86.42,75.41,65.62,63.56,61.67,61.29,63.94,58.47,54.22
Tajikistan,59.84,58.17,56.20,64.17,74.60,68.94,57.98,49.65,42.99,39.58,42.09,29.12,20.44,17.73,14.93,11.17,8.35,7.67,5.97
Thailand,275.92,252.08,224.99,214.21,219.30,213.00,206.46,195.97,172.09,152.49,151.51,126.85,104.45,91.44,83.50,76.51,69.90,57.29,62.26
Timor-Leste,93.69,86.75,93.38,102.23,93.71,103.28,71.61,64.27,52.19,49.46,42.77,29.59,26.81,24.51,19.33,14.70,,,
Togo,41.84,37.47,39.27,35.66,40.70,39.11,35.12,35.16,31.48,26.70,24.14,19.91,16.95,16.13,15.23,13.87,11.28,10.01,10.00
Tonga,236.93,232.76,215.39,187.38,226.13,183.23,226.50,169.76,177.97,126.35,202.77,144.01,159.30,116.76,110.70,74.03,68.04,59.97,58.27
Trinidad and Tobago,1123.42,1128.59,1106.51,1107.19,1054.45,1013.18,934.34,911.38,861.51,810.80,784.50,696.39,593.24,553.07,449.85,374.00,338.29,284.30,277.22
Tunisia,251.55,252.72,258.76,270.47,293.10,289.54,274.34,274.31,243.71,234.11,233.34,205.01,181.37,172.34,169.68,150.83,125.91,114.89,111.66
Turkey,389.87,442.62,466.79,453.12,525.84,551.40,524.25,531.42,539.33,500.19,570.86,512.85,416.93,364.91,299.56,238.69,186.69,153.62,199.50
Turkmenistan,460.18,456.74,423.06,405.13,437.75,376.22,318.80,276.65,221.80,194.25,255.48,281.93,374.18,345.14,319.26,208.87,132.52,123.79,76.64
Tuvalu,692.52,633.36,547.90,531.27,567.96,628.64,532.05,567.47,500.06,375.97,314.49,295.30,298.66,242.89,228.37,287.88,218.13,272.08,359.10
Uganda,43.14,41.96,42.20,43.73,52.91,52.22,55.97,56.27,65.54,57.60,59.04,53.47,44.79,39.42,31.77,22.39,22.58,20.66,19.11
Ukraine,228.39,187.40,157.54,157.58,212.77,280.98,275.22,243.78,202.34,168.29,215.79,185.91,148.38,116.33,84.58,68.92,52.88,44.79,35.13
United Arab Emirates,1817.35,1650.02,1298.13,1385.54,1588.28,1523.88,1403.52,1438.47,1314.63,1296.98,1303.14,1072.71,974.52,913.36,894.54,886.50,857.91,777.13,787.02
United Kingdom of Great Britain and Northern Ireland,4315.43,3978.62,4066.09,4472.52,4740.87,4350.26,4282.05,4208.42,3955.45,3892.01,4351.28,4505.47,3893.59,3599.93,3429.65,2833.68,2417.06,2128.29,2054.18
United Republic of Tanzania,36.82,35.47,37.19,33.59,40.15,43.78,42.28,38.04,37.53,34.07,36.89,36.91,36.27,28.24,23.91,20.82,17.41,15.53,12.61
United States of America,10623.85,10209.63,9877.87,9491.09,9023.61,8599.53,8399.24,8130.76,7930.15,7681.25,7410.70,7172.17,6821.11,6454.68,6103.58,5741.30,5332.49,4914.94,4564.46
Uruguay,1590.05,1648.87,1450.14,1406.52,1476.20,1497.07,1329.66,1229.38,1030.62,816.29,802.46,571.99,495.25,440.45,371.60,378.65,430.25,668.96,687.93
Uzbekistan,82.27,93.00,129.17,131.83,117.65,130.42,117.57,100.09,85.19,71.42,60.81,46.53,37.71,32.33,27.88,25.50,24.39,30.34,35.51
Vanuatu,105.39,85.10,82.24,116.50,106.73,129.78,117.97,114.20,100.14,83.70,82.50,73.12,68.08,62.38,63.30,55.43,52.87,46.26,48.71
Venezuela (Bolivarian Republic of),256.95,524.91,505.41,663.77,698.87,697.53,837.37,786.29,945.89,886.78,731.87,658.05,553.41,333.34,293.34,245.41,285.63,391.51,355.15
Viet Nam,151.69,140.17,124.06,117.86,117.41,119.52,108.94,89.59,78.64,64.44,59.17,49.51,42.29,35.04,28.74,22.37,19.66,23.19,18.92
Yemen,,,,73.18,81.05,79.73,75.14,65.56,68.87,66.81,70.83,59.23,51.00,43.38,39.15,35.72,28.02,27.20,25.83
Zambia,75.99,67.51,57.36,59.34,67.50,88.13,69.30,57.88,55.39,51.36,55.94,48.95,61.58,48.21,37.97,31.31,25.97,25.09,24.72
Zimbabwe,140.32,112.74,113.41,107.69,116.71,101.67,90.28,88.39,99.35,,,,,,,,,,
