,"2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
,"Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths"
,"Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases"
"Country","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years"
"Azerbaijan","6","262","269","7","293","300","8","324","331","9","346","354","10","349","359","11","366","377","12","376","389","13","386","399","14","409","424","16","440","456","17","482","499","19","531","550","22","592","614","25","672","697","29","772","801","34","902","936","40","1074","1114","47","1279","1326"
"Bahamas","0","1","1","0","1","1","0","2","2","0","2","2","0","2","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","1","1"
"Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","2","2","0","1","1","0","3","3","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1"
"Bangladesh","357","7154","7510","381","7889","8270","423","8140","8563","470","8692","9163","524","9734","10259","587","10872","11459","661","12137","12798","749","13419","14168","851","14671","15522","971","15842","16813","1107","17331","18438","1247","19261","20508","1375","21683","23058","1490","23429","24919","1615","26149","27764","1760","29076","30837","1941","33344","35285","2147","36705","38852"
"Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Belarus","0","2","2","0","3","3","0","3","3","0","3","3","0","3","3","0","4","4","0","4","4","0","5","5","0","6","6","0","7","7","0","8","8","0","9","9","0","10","10","0","12","12","0","13","13","0","16","16","0","19","19","0","22","22"
"Belgium","0","1","1","0","1","1","0","0","0","0","2","2","0","3","3","0","0","0","0","2","2","0","0","0","0","1","1","0","3","3","0","2","2","0","4","4","0","6","6","0","9","9","0","6","6","0","1","1","0","3","3","0","5","5"
"Belize","0","5","5","0","5","5","0","4","4","0","3","3","0","2","2","0","4","4","0","5","5","0","8","8","0","9","9","0","11","11","0","12","12","0","13","13","0","12","12","0","11","11","0","8","8","0","7","7","0","6","6","0","8","8"
"Benin","64","3660","3725","64","3876","3940","64","4084","4149","64","4273","4337","63","4343","4406","63","4375","4438","63","4274","4337","62","4021","4083","62","3848","3910","61","3702","3763","61","3652","3713","62","3726","3787","64","3863","3927","67","4158","4225","72","4474","4546","76","4760","4836","80","4971","5051","82","5227","5309"
"Bhutan","1","26","27","1","28","29","1","30","31","1","33","34","1","35","36","1","38","39","1","41","42","1","46","47","1","51","52","2","58","60","2","67","69","2","76","78","2","86","89","3","99","101","3","113","116","4","129","133","4","148","152","5","169","174"
"Bolivia (Plurinational State of)","14","506","521","15","539","553","16","576","591","17","615","632","18","631","649","20","682","702","21","748","769","23","829","852","25","937","963","28","1091","1119","32","1329","1361","36","1498","1534","39","1694","1734","43","1912","1955","46","2158","2204","49","2427","2476","53","2685","2738","59","2929","2988"
"Bosnia and Herzegovina","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","2","2","0","2","2","0","2","2","0","2","2","0","3","3","0","3","3","0","4","4","0","5","5","0","6","6","0","6","6","0","7","7"
"Botswana","5","68","73","5","70","76","6","74","80","6","77","83","6","80","87","6","85","91","7","92","99","7","93","100","7","100","107","7","105","112","7","109","116","7","114","121","7","120","127","6","126","132","6","128","134","6","129","134","5","128","133","5","124","129"
"Brazil","0","923","923","0","1013","1013","0","896","896","0","987","987","0","1165","1165","0","1193","1193","0","1162","1162","0","1567","1567","0","1922","1922","0","2372","2372","0","2745","2745","0","3922","3922","0","4656","4656","0","5107","5107","0","5955","5955","0","7127","7127","0","7804","7804","0","8908","8908"
"Brunei Darussalam","0","2","2","0","1","1","0","2","2","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1"
"Bulgaria","0","9","9","0","9","9","0","10","10","0","13","13","0","12","12","0","11","11","0","8","8","0","7","7","0","8","8","0","11","11","0","9","9","0","16","16","0","15","15","0","12","12","0","16","16","0","27","27","0","13","13","0","35","35"
"Burkina Faso","66","4584","4650","66","4738","4805","69","4833","4902","72","4820","4892","76","4826","4901","80","4698","4777","85","4628","4713","92","4654","4746","99","4938","5037","109","5444","5553","120","6127","6247","133","6710","6843","147","7034","7181","161","7115","7276","172","7030","7202","181","6904","7085","187","6790","6977","191","6747","6938"
"Burundi","48","2107","2156","49","2263","2312","50","2453","2503","51","2722","2773","53","3304","3357","54","3608","3662","55","3570","3626","56","3783","3840","58","4058","4116","63","4372","4435","68","4681","4748","72","4948","5021","76","4953","5029","80","5077","5158","85","4968","5053","89","4762","4852","94","4952","5046","98","5145","5243"
"Cabo Verde","0","7","7","0","8","8","0","8","8","0","9","9","0","10","10","0","11","11","0","11","11","0","12","12","0","13","13","0","14","14","0","15","15","0","16","16","0","18","18","0","21","21","0","23","23","0","27","27","0","32","32","0","40","40"
"Cambodia","18","771","789","19","845","864","20","878","899","22","879","901","25","964","989","27","1065","1092","30","1193","1223","33","1332","1365","38","1455","1493","43","1634","1677","51","1834","1886","61","2063","2124","72","2365","2437","86","2728","2814","104","3217","3321","127","3923","4049","154","4780","4934","183","5622","5805"
"Cameroon","91","6563","6654","92","6940","7031","94","7426","7520","98","8194","8292","102","9247","9350","107","9871","9978","112","9950","10062","114","10140","10254","119","10217","10336","126","9715","9840","134","9344","9478","142","9206","9348","149","9160","9310","155","9538","9693","160","10343","10503","166","11405","11571","172","12271","12443","179","13514","13693"
