"","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)"
"Norway","95","94","94","94","93","91","93","93","92","91","91","86"
"Oman","99","99","99","99","98","98","99","99","99","99","96",""
"Pakistan","75","73","79","78","80","68","65","","","","",""
"Palau","74","82","89","98","95","93","93","82","61","45","18","7"
"Panama","96","97","97","94","92","91","88","76","63","48","",""
"Papua New Guinea","35","35","36","20","20","","","","","","",""
"Paraguay","89","94","93","99","90","86","90","82","","","",""
"Peru","80","82","80","86","90","86","85","89","82","83","9",""
"Philippines","43","43","36","36","17","35","","","","","",""
"Poland","60","60","","","","","","","","","",""
"Portugal","98","98","96","73","","","","","","","",""
"Qatar","98","98","98","97","95","94","99","92","98","97","99",""
"Republic of Korea","98","97","97","98","97","","","","","","",""
"Republic of Moldova","80","85","79","77","72","28","1","","","","",""
"Romania","88","","","","","","","","","","",""
"Russian Federation","85","82","70","35","","","","","","","",""
"Rwanda","98","97","98","98","98","98","98","98","97","97","",""
"San Marino","76","58","56","53","","","","","","","",""
"Sao Tome and Principe","95","95","95","96","96","95","97","","","","",""
"Saudi Arabia","96","98","98","98","98","98","98","98","98","98","98",""
"Senegal","92","82","92","93","89","81","","","","","",""
"Serbia","93","48","","","","","","","","","",""
"Seychelles","92","16","","","","","","","","","",""
"Sierra Leone","94","92","90","84","86","83","92","92","75","","",""
"Singapore","82","82","83","78","75","68","60","52","40","22","17",""
