Pais,Vacunación contra la poliomielitis entre los niños de 1 año (%),Vacunación de antineumocócicas conjugadas en niños de 1 año (%),Vacunación de la primera dosis contra el sarampión (%),Vacunación de la segunda dosis contra el sarampión (%),Vacunación contra la hepatitis B entre los niños de 1 año (%),Vacunación contra Hib entre niños de 1 año (%),Vacunación contra la tos ferina y el toxoide tetánico diftérico en niños de 1 año (%),Vacunación con BCG en niños de 1 año (%),Centros de salud (Densidad por 100000 hab.),Hospitales (Densidad por 100000 hab.),Doctores medicos (por 10000 hab.),Enfermeros y personal de parto (por 10000 hab.),Farmaceuticos (por 10000 hab.),Camas de hospital (por 10000 hab.),Niños con bajo peso al nacer(%),Prevalencia de anemia en niños menores de 5 años (%),Niños amamantados en sus primeros 6 meses de vida (%),Concentracion de partículas finas (polucion) en el aire,"DALY debido al agua, saneamiento e higiene en niños menores de 5 años","Muertes debido al agua, saneamiento e higiene en niños menores de 5 años",Media Fallecidos Enf. Infecciosas
Poland,93.12,9.23,93.44,90.33,72.16,43.8,94.68,92.0,6.95,0.94,22.56,58.97,5.97,65.98,5.82,3.93,29.89,20.5,328018.71,9304.79,36.28
Portugal,81.2,28.08,85.61,82.95,64.72,70.33,89.73,73.41,0.18,2.24,36.44,60.28,6.53,34.63,7.98,1.97,34.0,7.9,328018.71,9304.79,6.77
Qatar,84.17,81.92,81.22,81.1,85.12,72.57,83.22,86.9,6.95,2.24,27.12,57.39,10.2,18.41,8.07,4.2,29.3,90.3,227.0,3.0,2.16
Republic of Korea,85.34,37.46,82.41,88.48,73.88,19.5,82.88,77.51,57.1,3.42,18.84,47.73,7.5,83.84,4.74,1.51,29.89,24.6,328018.71,9304.79,30.29
Republic of Moldova,64.8,32.46,62.12,80.67,70.66,30.03,62.78,66.22,10.09,2.12,28.07,72.23,4.79,63.29,5.14,4.28,40.0,16.0,1367.0,30.0,41.73
North Macedonia,62.51,46.82,61.2,90.95,42.78,34.13,61.95,62.71,1.71,4.08,23.75,32.21,3.26,45.96,8.8,3.8,19.6,28.3,328018.71,9304.79,6.37
Romania,79.59,6.77,83.02,85.43,72.22,26.53,80.51,80.61,0.06,1.68,22.85,59.09,5.49,68.3,8.49,4.05,15.8,14.3,328018.71,9304.79,151.79
Russian Federation,63.68,20.92,65.1,91.24,55.41,45.36,63.85,64.8,6.95,2.24,49.25,43.11,0.54,97.84,6.09,3.89,29.89,13.7,21725.0,320.0,468.69
Rwanda,77.17,75.15,75.83,21.9,54.22,57.83,78.85,82.76,6.95,2.24,1.04,7.39,0.32,16.0,8.9,6.96,85.54,40.7,497016.0,14354.0,2100.35
Saint Kitts and Nevis,93.15,46.82,84.41,91.48,67.22,62.1,92.9,73.02,31.9,7.38,12.21,61.76,3.26,29.72,10.13,5.86,29.89,12.3,56.0,1.0,0.12
Saint Lucia,86.85,46.82,81.71,64.48,50.38,53.73,86.88,87.85,6.95,1.65,9.86,25.05,2.91,13.42,10.13,5.57,3.5,21.2,48.0,0.0,0.9
Saint Vincent and the Grenadines,91.49,46.82,87.24,84.29,50.06,53.33,90.68,82.17,0.91,0.0,8.12,61.52,2.72,30.65,10.13,5.22,29.89,21.2,328018.71,9304.79,0.99
Samoa,76.8,46.82,69.76,37.14,62.34,26.97,77.39,88.68,1.61,4.2,4.12,20.96,0.91,10.0,10.13,5.5,60.8,10.6,604.0,16.0,4.17
San Marino,85.9,18.69,64.93,71.62,83.47,83.53,85.17,72.01,0.0,3.18,52.85,106.06,7.04,29.72,3.3,5.86,29.89,13.4,328018.71,9304.79,0.0
Sao Tome and Principe,77.27,51.46,69.02,21.71,47.72,31.97,76.59,87.17,2.24,2.24,4.21,20.48,0.13,30.5,6.88,9.39,58.88,25.7,3392.0,98.0,22.25
Saudi Arabia,88.02,82.77,84.56,87.86,88.44,58.2,88.02,86.9,0.0,1.04,20.87,46.09,6.56,22.96,10.13,6.54,29.89,78.4,328018.71,9304.79,171.16
Senegal,59.88,40.69,57.8,16.81,43.69,42.6,60.71,74.44,0.57,0.16,1.25,3.39,0.1,3.0,20.04,11.64,26.16,37.5,346344.0,9836.0,2653.5
Serbia,63.56,10.85,60.66,84.71,45.56,41.93,63.07,65.34,1.63,1.09,24.46,35.55,8.11,54.71,4.61,4.13,13.57,24.3,328018.71,9304.79,11.37
Seychelles,89.51,8.31,88.41,89.14,76.94,32.7,89.37,92.02,5.58,1.08,12.88,58.11,0.93,37.5,10.51,5.91,29.89,18.7,328018.71,9304.79,0.41
Sierra Leone,38.32,60.62,37.78,14.33,34.78,37.1,38.02,44.51,1.24,2.24,0.33,6.06,0.13,4.0,15.85,11.59,16.84,20.6,430168.0,12449.0,3882.02
Singapore,91.07,50.69,88.0,88.71,87.84,21.7,90.8,94.54,6.95,0.5,16.92,52.38,3.42,23.6,9.7,2.22,29.89,18.3,460.0,1.0,3.4
Slovakia,62.17,82.31,62.12,93.71,61.31,66.77,62.37,44.51,6.95,1.54,33.04,64.4,5.79,65.13,7.47,4.0,49.0,17.5,331.0,1.0,8.14
Slovenia,64.98,21.38,63.83,91.95,52.72,60.2,64.95,30.85,2.75,1.25,25.08,120.05,5.03,47.24,6.04,4.07,29.89,15.8,328018.71,9304.79,0.84
Solomon Islands,71.1,29.85,63.98,5.14,69.84,35.0,71.32,76.9,6.95,2.24,1.71,16.95,1.04,15.3,10.13,6.78,74.95,10.7,2215.0,58.0,23.61
Somalia,29.56,46.82,32.24,56.41,9.19,9.8,27.76,37.2,6.95,2.24,0.25,1.01,3.26,6.45,10.13,9.39,7.8,29.5,457939.0,13246.0,7036.27
South Africa,67.71,57.38,67.27,51.33,54.47,50.97,68.54,72.24,0.56,0.67,7.44,27.71,2.62,26.45,14.52,5.27,15.6,23.6,203649.0,5418.0,6043.31
South Sudan,11.85,46.82,11.88,56.41,6.91,7.37,11.29,12.59,6.95,2.24,16.29,40.91,3.26,29.72,10.13,10.1,44.5,41.1,328018.71,9304.79,3221.85
Spain,81.61,21.62,83.27,70.62,68.47,69.7,81.76,72.01,6.95,1.63,35.11,45.76,9.03,32.01,7.81,1.79,29.0,9.5,1915.0,2.0,25.88
Sri Lanka,86.78,46.82,75.98,86.05,49.19,33.0,86.68,87.41,6.95,0.1,5.64,14.15,0.65,38.3,16.82,4.98,47.54,15.2,28045.0,711.0,105.07
Sudan,57.85,45.69,54.73,23.71,38.25,35.47,57.59,62.32,3.44,1.35,3.24,9.56,0.96,14.84,10.13,10.48,47.8,47.9,513832.0,14499.0,6178.54
Suriname,73.05,46.82,71.15,15.95,37.0,39.47,73.73,72.01,1.12,0.37,8.72,26.73,0.48,30.5,15.25,5.59,3.07,23.6,905.0,23.0,8.77
Sweden,95.98,86.85,92.9,90.24,16.28,93.17,96.15,16.8,6.95,2.24,35.3,111.22,7.5,27.71,3.98,1.66,14.0,5.9,417.0,0.0,4.12
Switzerland,79.2,58.0,71.39,59.57,6.47,68.07,76.83,72.01,6.95,2.24,40.49,167.64,6.25,52.56,6.36,1.73,29.89,10.2,346.0,1.0,3.22
Syrian Arab Republic,65.37,46.82,65.1,66.19,57.28,41.4,63.63,79.32,6.95,2.24,14.2,19.51,7.33,14.67,10.13,5.9,35.55,39.4,51819.0,1357.0,391.32
Tajikistan,58.49,46.82,59.9,87.38,49.0,36.57,59.2,64.63,11.22,4.68,20.17,44.77,1.04,55.72,5.83,5.51,26.88,40.0,162877.0,4742.0,599.53
Thailand,84.0,46.82,74.71,87.9,79.78,45.36,85.59,92.07,6.95,1.84,3.95,16.78,2.0,21.0,11.37,4.25,10.8,26.2,103440.0,2839.0,448.49
Timor-Leste,31.29,46.82,29.46,10.52,29.25,18.77,31.46,35.49,6.95,2.24,7.06,13.59,0.6,59.0,10.13,6.59,48.5,17.9,8807.0,244.0,198.69
Togo,58.34,33.15,54.22,3.19,29.19,31.13,59.78,79.51,11.66,0.6,0.6,3.73,0.28,8.0,16.87,11.12,33.87,32.7,134274.0,3773.0,1837.84
Tonga,86.98,46.82,83.05,79.29,89.75,49.13,87.59,94.12,13.37,3.8,4.84,38.13,0.75,29.72,10.13,5.73,52.2,10.1,287.0,8.0,1.65
Trinidad and Tobago,82.2,52.54,72.24,74.52,48.5,61.23,82.02,72.01,0.3,2.24,17.43,33.2,4.65,28.01,12.74,5.06,7.0,22.0,411.0,5.0,14.13
Tunisia,82.98,46.82,81.51,91.67,70.53,35.33,82.98,87.71,6.95,2.33,8.83,24.43,1.96,19.81,7.75,4.39,10.9,35.7,18816.0,495.0,103.34
Turkey,80.12,81.62,78.83,81.14,55.75,41.37,79.17,83.9,0.28,1.55,14.48,16.67,3.5,25.74,12.02,5.12,22.38,42.0,198175.0,5600.0,462.03
Turkmenistan,65.63,46.82,65.76,92.14,54.91,30.47,65.1,66.88,6.95,2.24,27.3,53.99,2.15,44.31,5.14,5.01,27.1,19.0,77609.0,2273.0,397.73
Tuvalu,82.98,46.82,78.2,79.9,71.62,33.73,81.95,93.76,0.18,0.02,9.38,46.84,1.7,29.72,10.13,5.86,34.7,11.4,60.0,2.0,0.25
Uganda,53.07,36.54,55.98,56.41,42.56,45.4,54.61,72.39,3.84,0.4,1.13,13.0,0.08,4.5,10.13,9.79,62.5,48.4,822916.0,23309.0,10512.3
Ukraine,56.66,46.82,59.05,74.29,34.22,24.9,54.51,61.27,6.95,2.24,31.9,69.12,0.31,87.95,5.28,3.93,13.93,18.3,4871.0,51.0,188.03
United Arab Emirates,83.29,74.92,82.24,90.57,79.19,66.63,83.22,84.54,6.95,2.24,18.32,37.03,5.13,16.69,12.84,4.55,29.89,39.4,1549.0,29.0,9.07
United Kingdom of Great Britain and Northern Ireland,89.15,70.54,81.27,77.57,2.91,83.53,82.8,72.01,6.95,2.24,39.51,103.67,7.21,31.97,7.17,1.51,1.0,10.5,328018.71,9304.79,43.25
United Republic of Tanzania,77.22,46.69,79.34,16.76,50.94,33.4,79.46,87.17,6.95,2.24,0.38,4.15,0.08,9.0,11.31,10.04,39.49,25.6,765493.0,21499.0,10708.37
United States of America,89.24,85.62,89.39,85.0,71.84,76.97,92.24,72.01,6.95,2.24,25.88,142.86,9.02,30.99,8.03,1.09,25.07,7.4,18374.0,18.0,349.8
Uruguay,86.12,71.85,85.44,31.05,61.72,70.8,85.51,93.73,1.18,3.93,41.42,53.86,3.26,25.33,8.23,3.45,29.89,8.6,751.0,7.0,16.85
Uzbekistan,65.2,30.23,65.2,78.9,54.09,36.13,64.51,66.88,6.95,2.24,28.76,111.13,0.33,48.17,5.5,7.46,14.65,25.3,293528.0,8555.0,1132.25
Vanuatu,61.61,46.82,54.68,56.41,65.59,24.03,63.32,77.63,15.85,2.37,1.41,17.36,0.63,29.72,11.0,5.42,56.05,10.3,510.0,13.0,10.63
Venezuela (Bolivarian Republic of),73.07,2.38,70.68,19.05,43.38,44.07,64.22,86.39,6.95,2.24,18.39,14.68,3.26,8.34,8.69,4.47,7.1,15.8,36820.0,857.0,476.25
Viet Nam,75.37,46.82,75.05,53.67,46.62,28.67,74.2,79.15,6.95,2.24,6.88,10.42,2.64,26.93,8.59,5.49,18.38,29.7,189463.0,4905.0,1738.06
Yemen,51.02,46.0,49.32,28.62,39.03,34.77,52.0,54.17,4.78,2.97,3.48,7.34,0.58,6.67,10.13,12.29,13.02,45.0,448442.0,12890.0,3168.94
Zambia,73.29,40.08,75.46,15.86,40.12,45.57,74.22,87.56,8.79,0.45,0.73,7.86,0.36,19.5,12.43,9.06,36.58,24.7,372317.0,10541.0,4199.13
Zimbabwe,75.59,50.15,76.05,14.0,53.5,35.33,75.07,83.41,10.0,0.52,1.28,14.6,0.33,23.5,12.69,6.84,27.3,19.4,157239.0,4371.0,2921.95
